ordinal,name,path,category,imageUrl
152,Stock Car Brasil Toyota Corolla,cars\stockcarbrasil\corolla,sports_car,https://images-static.iracing.com/img/cars/stockcarproseriestoyotacorolla/stockcarproseriestoyotacorolla-small.jpg
153,Hyundai Veloster N TCR,cars\hyundaivelostern,sports_car,https://images-static.iracing.com/img/cars/hyundaivelostern/hyundaivelostern-small.jpg
154,NASCAR Legends Buick LeSabre - 1987,cars\stockcars\buicklesabre87,oval,https://images-static.iracing.com/img/cars/buicklesabre87/buicklesabre87-small.jpg
155,NASCAR Truck Toyota Tundra TRD Pro,cars\trucks\toyotatundra2022,oval,https://images-static.iracing.com/img/cars/carid_155/toyotatundratrdpro-small.jpg
156,Mercedes-AMG GT3 2020,cars\mercedesamgevogt3,sports_car,https://images-static.iracing.com/img/cars/mercedesamgevogt3/mercedesamgevogt3-small.jpg
157,Mercedes-AMG GT4,cars\mercedesamggt4,sports_car,https://images-static.iracing.com/img/cars/mercedesamggt4/mercedesamggt4-small.jpg
158,Porsche Mission R,cars\porschemissionr,sports_car,https://images-static.iracing.com/img/cars/porschemissionr/porschemissionr-small.jpg
159,BMW M Hybrid V8,cars\bmwlmdh,sports_car,https://images-static.iracing.com/img/cars/carid_159/bmwlmdh-small.jpg
160,Toyota GR86,cars\toyotagr86,sports_car,https://images-static.iracing.com/img/cars/toyotagr86/toyotagr86-small.jpg
161,Mercedes-AMG W13 E Performance,cars\mercedesw13,formula_car,https://images-static.iracing.com/img/cars/mercedesw13/mercedesw13-small.jpg
162,Renault Clio,cars\renaultcliocup,sports_car,https://images-static.iracing.com/img/cars/renaultcliocup/renaultcliocup-small.jpg
163,Ray FF1600,cars\raygr22,formula_car,https://images-static.iracing.com/img/cars/rayff1600/rayff1600-small.jpg
164,Late Model Stock,cars\latemodel2023,oval,https://images-static.iracing.com/img/cars/latemodel2023/latemodel2023-small.jpg
165,Ligier JS P320,cars\ligierjsp320,sports_car,https://images-static.iracing.com/img/cars/ligierjsp320/ligierjsp320-small.jpg
167,[Legacy] Gen 4 Cup,cars\stockcars2\chevy\gen4cup,oval,https://images-static.iracing.com/img/cars/carid_167/carid_167-small.jpg
168,Cadillac V-Series.R GTP,cars\cadillacvseriesrgtp,sports_car,https://images-static.iracing.com/img/cars/carid_168/cadillacvseriesrgtp-small.jpg
169,Porsche 911 GT3 R (992),cars\porsche992rgt3,sports_car,https://images-static.iracing.com/img/cars/carid_169/porsche992rgt3-small.jpg
170,Acura ARX-06 GTP,cars\acuraarx06gtp,sports_car,https://images-static.iracing.com/img/cars/carid_170/acuraarx06gtp-small.jpg
171,Super Formula SF23 - Toyota,cars\superformulasf23\toyota,formula_car,https://images-static.iracing.com/img/cars/carid_171/superformulasf23-small.jpg
172,Super Formula SF23 - Honda,cars\superformulasf23\honda,formula_car,https://images-static.iracing.com/img/cars/carid_172/superformulaSF23honda-small.jpg
173,Ferrari 296 GT3,cars\ferrari296gt3,sports_car,https://images-static.iracing.com/img/cars/carid_173/ferrari296gt3-small.jpg
174,Porsche 963 GTP,cars\porsche963gtp,sports_car,https://images-static.iracing.com/img/cars/carid_174/porsche963gtp-small.jpg
175,NASCAR Legends Pontiac Grand Prix - 1987,cars\stockcars\pontiacgrandprix87,oval,https://images-static.iracing.com/img/cars/carid_175/pontiacgrandprix87-small.jpg
176,Audi R8 LMS EVO II GT3,cars\audir8lmsevo2gt3,sports_car,https://images-static.iracing.com/img/cars/carid_176/audir8lmsevo2gt3-small.jpg
178,Super Formula Lights,cars\superformulalights324,formula_car,https://images-static.iracing.com/img/cars/carid_178/superformulalights-small.jpg
179,SRX,cars\srx,oval,https://images-static.iracing.com/img/cars/carid_179/srx-small.jpg
180,Dirt Micro Sprint Car - Winged,cars\dirtmicrosprint\winged,dirt_oval,https://images-static.iracing.com/img/cars/carid_180/dirtmicrosprint-small.jpg
181,Dirt Micro Sprint Car - Non-Winged,cars\dirtmicrosprint\nonwinged,dirt_oval,https://images-static.iracing.com/img/cars/carid_181/dirtmicrosprint-small.jpg
