#options: 2748x1554 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=4600 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:129 out:131 type:b dur:4 cpbdur:4 q:22.22 aq:19.23 tex:90162 mv:9575 misc:3431 imb:146 pmb:1163 smb:15547 d:- ref:0 ;
in:131 out:132 type:b dur:4 cpbdur:4 q:22.22 aq:13.95 tex:3456 mv:1360 misc:2952 imb:10 pmb:729 smb:16117 d:- ref:0 ;
in:136 out:133 type:P dur:4 cpbdur:4 q:22.15 aq:15.09 tex:363233 mv:14778 misc:3813 imb:838 pmb:1317 smb:14701 d:- ref:0 ;
in:134 out:134 type:B dur:4 cpbdur:4 q:22.18 aq:19.99 tex:142362 mv:15581 misc:3401 imb:159 pmb:1424 smb:15273 d:- ref:0 ;
in:133 out:135 type:b dur:4 cpbdur:4 q:22.20 aq:20.05 tex:127367 mv:12552 misc:3649 imb:195 pmb:1286 smb:15375 d:- ref:0 ;
in:135 out:136 type:b dur:4 cpbdur:4 q:22.17 aq:20.99 tex:102682 mv:11252 misc:3522 imb:143 pmb:1292 smb:15421 d:- ref:0 ;
in:140 out:137 type:P dur:4 cpbdur:4 q:22.17 aq:14.89 tex:316253 mv:13405 misc:3662 imb:866 pmb:1226 smb:14764 d:- ref:0 ;
in:138 out:138 type:B dur:4 cpbdur:4 q:22.16 aq:19.60 tex:130898 mv:13323 misc:3571 imb:120 pmb:1426 smb:15310 d:- ref:0 ;
in:137 out:139 type:b dur:4 cpbdur:4 q:22.16 aq:20.52 tex:101213 mv:12864 misc:3371 imb:129 pmb:1418 smb:15309 d:- ref:0 ;
in:139 out:140 type:b dur:4 cpbdur:4 q:22.17 aq:21.37 tex:31613 mv:2989 misc:2814 imb:6 pmb:691 smb:16159 d:- ref:0 ;
in:144 out:141 type:P dur:2 cpbdur:2 q:24.58 aq:16.75 tex:189467 mv:9602 misc:3635 imb:727 pmb:1105 smb:15024 d:- ref:0 ;
in:142 out:142 type:B dur:2 cpbdur:2 q:23.38 aq:19.87 tex:112621 mv:9623 misc:3404 imb:142 pmb:1140 smb:15574 d:- ref:0 ;
in:141 out:143 type:b dur:2 cpbdur:2 q:22.77 aq:14.16 tex:1884 mv:1128 misc:2428 imb:12 pmb:577 smb:16267 d:- ref:0 ;
